CHROM START_BIN END_BIN class cluster cluster_start cluster_size cluster_end isotype
I 1101000 1102000 short_only yes 1101000 26000 1127000 CB4856
I 1102000 1103000 short_only yes 1101000 26000 1127000 CB4856
I 1103000 1104000 both yes 1101000 26000 1127000 CB4856
I 1104000 1105000 both yes 1101000 26000 1127000 CB4856
I 1105000 1106000 both yes 1101000 26000 1127000 CB4856
I 1106000 1107000 both yes 1101000 26000 1127000 CB4856
I 1107000 1108000 both yes 1101000 26000 1127000 CB4856
I 1108000 1109000 both yes 1101000 26000 1127000 CB4856
I 1109000 1110000 both yes 1101000 26000 1127000 CB4856
I 1110000 1111000 both yes 1101000 26000 1127000 CB4856
I 1111000 1112000 both yes 1101000 26000 1127000 CB4856
I 1112000 1113000 both yes 1101000 26000 1127000 CB4856
I 1113000 1114000 both yes 1101000 26000 1127000 CB4856
I 1114000 1115000 both yes 1101000 26000 1127000 CB4856
I 1115000 1116000 both yes 1101000 26000 1127000 CB4856
I 1116000 1117000 both yes 1101000 26000 1127000 CB4856
I 1117000 1118000 both yes 1101000 26000 1127000 CB4856
I 1118000 1119000 both yes 1101000 26000 1127000 CB4856
I 1119000 1120000 both yes 1101000 26000 1127000 CB4856
I 1120000 1121000 both yes 1101000 26000 1127000 CB4856
I 1121000 1122000 both yes 1101000 26000 1127000 CB4856
I 1122000 1123000 both yes 1101000 26000 1127000 CB4856
I 1123000 1124000 both yes 1101000 26000 1127000 CB4856
I 1124000 1125000 both yes 1101000 26000 1127000 CB4856
I 1125000 1126000 both yes 1101000 26000 1127000 CB4856
I 1126000 1127000 short_only yes 1101000 26000 1127000 CB4856
I 1206000 1207000 short_only yes 1206000 12000 1218000 CB4856
I 1207000 1208000 short_only yes 1206000 12000 1218000 CB4856
I 1208000 1209000 short_only yes 1206000 12000 1218000 CB4856
I 1209000 1210000 short_only yes 1206000 12000 1218000 CB4856
I 1210000 1211000 short_only yes 1206000 12000 1218000 CB4856
I 1211000 1212000 short_only yes 1206000 12000 1218000 CB4856
I 1212000 1213000 short_only yes 1206000 12000 1218000 CB4856
I 1213000 1214000 short_only yes 1206000 12000 1218000 CB4856
I 1214000 1215000 short_only yes 1206000 12000 1218000 CB4856
I 1215000 1216000 short_only yes 1206000 12000 1218000 CB4856
I 1216000 1217000 short_only yes 1206000 12000 1218000 CB4856
I 1217000 1218000 short_only yes 1206000 12000 1218000 CB4856
I 1513000 1514000 short_only yes 1513000 14000 1527000 CB4856
I 1514000 1515000 short_only yes 1513000 14000 1527000 CB4856
I 1515000 1516000 short_only yes 1513000 14000 1527000 CB4856
I 1516000 1517000 short_only yes 1513000 14000 1527000 CB4856
I 1517000 1518000 short_only yes 1513000 14000 1527000 CB4856
I 1518000 1519000 short_only yes 1513000 14000 1527000 CB4856
I 1519000 1520000 short_only yes 1513000 14000 1527000 CB4856
I 1520000 1521000 short_only yes 1513000 14000 1527000 CB4856
I 1521000 1522000 short_only yes 1513000 14000 1527000 CB4856
I 1522000 1523000 short_only yes 1513000 14000 1527000 CB4856
I 1523000 1524000 short_only yes 1513000 14000 1527000 CB4856
I 1524000 1525000 short_only yes 1513000 14000 1527000 CB4856
I 1525000 1526000 short_only yes 1513000 14000 1527000 CB4856
I 1526000 1527000 short_only yes 1513000 14000 1527000 CB4856
I 1901000 1902000 short_only yes 1901000 11000 1912000 CB4856
I 1902000 1903000 short_only yes 1901000 11000 1912000 CB4856
I 1903000 1904000 short_only yes 1901000 11000 1912000 CB4856
I 1904000 1905000 short_only yes 1901000 11000 1912000 CB4856
I 1905000 1906000 short_only yes 1901000 11000 1912000 CB4856
I 1906000 1907000 short_only yes 1901000 11000 1912000 CB4856
I 1907000 1908000 short_only yes 1901000 11000 1912000 CB4856
I 1908000 1909000 short_only yes 1901000 11000 1912000 CB4856
I 1909000 1910000 short_only yes 1901000 11000 1912000 CB4856
I 1910000 1911000 short_only yes 1901000 11000 1912000 CB4856
I 1911000 1912000 short_only yes 1901000 11000 1912000 CB4856
I 1922000 1923000 long_only yes 1922000 16000 1938000 CB4856
I 1923000 1924000 long_only yes 1922000 16000 1938000 CB4856
I 1924000 1925000 long_only yes 1922000 16000 1938000 CB4856
I 1925000 1926000 long_only yes 1922000 16000 1938000 CB4856
I 1926000 1927000 long_only yes 1922000 16000 1938000 CB4856
I 1927000 1928000 long_only yes 1922000 16000 1938000 CB4856
I 1928000 1929000 long_only yes 1922000 16000 1938000 CB4856
I 1929000 1930000 long_only yes 1922000 16000 1938000 CB4856
I 1930000 1931000 long_only yes 1922000 16000 1938000 CB4856
I 1931000 1932000 long_only yes 1922000 16000 1938000 CB4856
I 1932000 1933000 long_only yes 1922000 16000 1938000 CB4856
I 1933000 1934000 long_only yes 1922000 16000 1938000 CB4856
I 1934000 1935000 long_only yes 1922000 16000 1938000 CB4856
I 1935000 1936000 long_only yes 1922000 16000 1938000 CB4856
I 1936000 1937000 long_only yes 1922000 16000 1938000 CB4856
I 1937000 1938000 long_only yes 1922000 16000 1938000 CB4856
I 2157000 2158000 short_only yes 2157000 13000 2170000 CB4856
I 2158000 2159000 short_only yes 2157000 13000 2170000 CB4856
I 2159000 2160000 short_only yes 2157000 13000 2170000 CB4856
I 2160000 2161000 short_only yes 2157000 13000 2170000 CB4856
I 2161000 2162000 short_only yes 2157000 13000 2170000 CB4856
I 2162000 2163000 short_only yes 2157000 13000 2170000 CB4856
I 2163000 2164000 short_only yes 2157000 13000 2170000 CB4856
I 2164000 2165000 short_only yes 2157000 13000 2170000 CB4856
I 2165000 2166000 short_only yes 2157000 13000 2170000 CB4856
I 2166000 2167000 short_only yes 2157000 13000 2170000 CB4856
I 2167000 2168000 short_only yes 2157000 13000 2170000 CB4856
I 2168000 2169000 short_only yes 2157000 13000 2170000 CB4856
I 2169000 2170000 short_only yes 2157000 13000 2170000 CB4856
I 2328000 2329000 long_only yes 2328000 33000 2361000 CB4856
I 2329000 2330000 both yes 2328000 33000 2361000 CB4856
I 2330000 2331000 both yes 2328000 33000 2361000 CB4856
I 2331000 2332000 both yes 2328000 33000 2361000 CB4856
I 2332000 2333000 both yes 2328000 33000 2361000 CB4856
I 2333000 2334000 both yes 2328000 33000 2361000 CB4856
I 2334000 2335000 both yes 2328000 33000 2361000 CB4856
I 2335000 2336000 both yes 2328000 33000 2361000 CB4856
I 2336000 2337000 both yes 2328000 33000 2361000 CB4856
I 2337000 2338000 both yes 2328000 33000 2361000 CB4856
I 2338000 2339000 both yes 2328000 33000 2361000 CB4856
I 2339000 2340000 both yes 2328000 33000 2361000 CB4856
I 2340000 2341000 both yes 2328000 33000 2361000 CB4856
I 2341000 2342000 both yes 2328000 33000 2361000 CB4856
I 2342000 2343000 both yes 2328000 33000 2361000 CB4856
I 2343000 2344000 both yes 2328000 33000 2361000 CB4856
I 2344000 2345000 both yes 2328000 33000 2361000 CB4856
I 2345000 2346000 both yes 2328000 33000 2361000 CB4856
I 2346000 2347000 both yes 2328000 33000 2361000 CB4856
I 2347000 2348000 both yes 2328000 33000 2361000 CB4856
I 2348000 2349000 both yes 2328000 33000 2361000 CB4856
I 2349000 2350000 both yes 2328000 33000 2361000 CB4856
I 2350000 2351000 both yes 2328000 33000 2361000 CB4856
I 2351000 2352000 both yes 2328000 33000 2361000 CB4856
I 2352000 2353000 both yes 2328000 33000 2361000 CB4856
I 2353000 2354000 both yes 2328000 33000 2361000 CB4856
I 2354000 2355000 both yes 2328000 33000 2361000 CB4856
I 2355000 2356000 both yes 2328000 33000 2361000 CB4856
I 2356000 2357000 both yes 2328000 33000 2361000 CB4856
I 2357000 2358000 both yes 2328000 33000 2361000 CB4856
I 2358000 2359000 short_only yes 2328000 33000 2361000 CB4856
I 2359000 2360000 short_only yes 2328000 33000 2361000 CB4856
I 2360000 2361000 short_only yes 2328000 33000 2361000 CB4856
I 2799000 2800000 short_only yes 2799000 10000 2809000 CB4856
I 2800000 2801000 short_only yes 2799000 10000 2809000 CB4856
I 2801000 2802000 short_only yes 2799000 10000 2809000 CB4856
I 2802000 2803000 short_only yes 2799000 10000 2809000 CB4856
I 2803000 2804000 short_only yes 2799000 10000 2809000 CB4856
I 2804000 2805000 short_only yes 2799000 10000 2809000 CB4856
I 2805000 2806000 short_only yes 2799000 10000 2809000 CB4856
I 2806000 2807000 short_only yes 2799000 10000 2809000 CB4856
I 2807000 2808000 short_only yes 2799000 10000 2809000 CB4856
I 2808000 2809000 short_only yes 2799000 10000 2809000 CB4856
I 3184000 3185000 short_only yes 3184000 11000 3195000 CB4856
I 3185000 3186000 short_only yes 3184000 11000 3195000 CB4856
I 3186000 3187000 short_only yes 3184000 11000 3195000 CB4856
I 3187000 3188000 short_only yes 3184000 11000 3195000 CB4856
I 3188000 3189000 short_only yes 3184000 11000 3195000 CB4856
I 3189000 3190000 short_only yes 3184000 11000 3195000 CB4856
I 3190000 3191000 short_only yes 3184000 11000 3195000 CB4856
I 3191000 3192000 short_only yes 3184000 11000 3195000 CB4856
I 3192000 3193000 short_only yes 3184000 11000 3195000 CB4856
I 3193000 3194000 short_only yes 3184000 11000 3195000 CB4856
I 3194000 3195000 short_only yes 3184000 11000 3195000 CB4856
I 12103000 12104000 short_only yes 12103000 11000 12114000 CB4856
I 12104000 12105000 short_only yes 12103000 11000 12114000 CB4856
I 12105000 12106000 short_only yes 12103000 11000 12114000 CB4856
I 12106000 12107000 short_only yes 12103000 11000 12114000 CB4856
I 12107000 12108000 short_only yes 12103000 11000 12114000 CB4856
I 12108000 12109000 short_only yes 12103000 11000 12114000 CB4856
I 12109000 12110000 short_only yes 12103000 11000 12114000 CB4856
I 12110000 12111000 short_only yes 12103000 11000 12114000 CB4856
I 12111000 12112000 short_only yes 12103000 11000 12114000 CB4856
I 12112000 12113000 short_only yes 12103000 11000 12114000 CB4856
I 12113000 12114000 short_only yes 12103000 11000 12114000 CB4856
I 12620000 12621000 long_only yes 12620000 21000 12641000 CB4856
I 12621000 12622000 long_only yes 12620000 21000 12641000 CB4856
I 12622000 12623000 long_only yes 12620000 21000 12641000 CB4856
I 12623000 12624000 long_only yes 12620000 21000 12641000 CB4856
I 12624000 12625000 long_only yes 12620000 21000 12641000 CB4856
I 12625000 12626000 long_only yes 12620000 21000 12641000 CB4856
I 12626000 12627000 long_only yes 12620000 21000 12641000 CB4856
I 12627000 12628000 long_only yes 12620000 21000 12641000 CB4856
I 12628000 12629000 long_only yes 12620000 21000 12641000 CB4856
I 12629000 12630000 long_only yes 12620000 21000 12641000 CB4856
I 12630000 12631000 long_only yes 12620000 21000 12641000 CB4856
I 12631000 12632000 long_only yes 12620000 21000 12641000 CB4856
I 12632000 12633000 long_only yes 12620000 21000 12641000 CB4856
I 12633000 12634000 long_only yes 12620000 21000 12641000 CB4856
I 12634000 12635000 long_only yes 12620000 21000 12641000 CB4856
I 12635000 12636000 long_only yes 12620000 21000 12641000 CB4856
I 12636000 12637000 long_only yes 12620000 21000 12641000 CB4856
I 12637000 12638000 long_only yes 12620000 21000 12641000 CB4856
I 12638000 12639000 long_only yes 12620000 21000 12641000 CB4856
I 12639000 12640000 long_only yes 12620000 21000 12641000 CB4856
I 12640000 12641000 long_only yes 12620000 21000 12641000 CB4856
I 12785000 12786000 short_only yes 12785000 24000 12809000 CB4856
I 12786000 12787000 short_only yes 12785000 24000 12809000 CB4856
I 12787000 12788000 short_only yes 12785000 24000 12809000 CB4856
I 12788000 12789000 short_only yes 12785000 24000 12809000 CB4856
I 12789000 12790000 short_only yes 12785000 24000 12809000 CB4856
I 12790000 12791000 short_only yes 12785000 24000 12809000 CB4856
I 12791000 12792000 short_only yes 12785000 24000 12809000 CB4856
I 12792000 12793000 short_only yes 12785000 24000 12809000 CB4856
I 12793000 12794000 short_only yes 12785000 24000 12809000 CB4856
I 12794000 12795000 short_only yes 12785000 24000 12809000 CB4856
I 12795000 12796000 short_only yes 12785000 24000 12809000 CB4856
I 12796000 12797000 short_only yes 12785000 24000 12809000 CB4856
I 12797000 12798000 short_only yes 12785000 24000 12809000 CB4856
I 12798000 12799000 short_only yes 12785000 24000 12809000 CB4856
I 12799000 12800000 short_only yes 12785000 24000 12809000 CB4856
I 12800000 12801000 short_only yes 12785000 24000 12809000 CB4856
I 12801000 12802000 short_only yes 12785000 24000 12809000 CB4856
I 12802000 12803000 short_only yes 12785000 24000 12809000 CB4856
I 12803000 12804000 short_only yes 12785000 24000 12809000 CB4856
I 12804000 12805000 short_only yes 12785000 24000 12809000 CB4856
I 12805000 12806000 short_only yes 12785000 24000 12809000 CB4856
I 12806000 12807000 short_only yes 12785000 24000 12809000 CB4856
I 12807000 12808000 short_only yes 12785000 24000 12809000 CB4856
I 12808000 12809000 short_only yes 12785000 24000 12809000 CB4856
I 13357000 13358000 short_only yes 13357000 11000 13368000 CB4856
I 13358000 13359000 short_only yes 13357000 11000 13368000 CB4856
I 13359000 13360000 short_only yes 13357000 11000 13368000 CB4856
I 13360000 13361000 short_only yes 13357000 11000 13368000 CB4856
I 13361000 13362000 short_only yes 13357000 11000 13368000 CB4856
I 13362000 13363000 short_only yes 13357000 11000 13368000 CB4856
I 13363000 13364000 short_only yes 13357000 11000 13368000 CB4856
