N2.Y38C9B.2	NIC2.g19881.t1	100.0	CBRIG.CBG06451	CNIGO.Cni-srt-52.1	94.14	nondivergent	NIC2
N2.F56E10.2a	NIC2.g19879.t1	100.0	CBRIG.CBG06440	CNIGO.Cni-daam-1.1	98.6	nondivergent	NIC2
N2.F56E10.4	NIC2.g19876.t1	100.0	CBRIG.CBG06446	CNIGO.Cni-rps-27	100.0	nondivergent	NIC2
N2.F56E10.1b	NIC2.g19875.t1	99.9	CBRIG.CBG06447a	CNIGO.Cni-F56E10.1	93.21	nondivergent	NIC2
N2.W03F9.1a	NIC2.g19873.t1	100.0	CBRIG.CBG06449	CNIGO.Cnig_chr_V.g18337	98.48	nondivergent	NIC2
N2.W03F9.2a	NIC2.g19872.t1	100.0	CBRIG.CBG06454	CNIGO.Cni-W03F9.2	98.76	nondivergent	NIC2
N2.W03F9.10	NIC2.g19871.t1	100.0	CBRIG.CBG06453	CNIGO.Cni-W03F9.10	99.17	nondivergent	NIC2
N2.W03F9.11	NIC2.g19867.t1	95.28	CBRIG.CBG06452	CNIGO.Cni-W03F9.11	89.42	nondivergent	NIC2
N2.W03F9.4a	NIC2.g19865.t1	100.0	CBRIG.CBG06455	CNIGO.Cni-W03F9.4	98.53	nondivergent	NIC2
N2.W03F9.5	NIC2.g19864.t1	100.0	CBRIG.CBG06439	CNIGO.Cnig_chr_V.g18329.1	98.34	nondivergent	NIC2
N2.Y108G3AL.3a	NIC2.g19863.t1	99.48	CBRIG.CBG06436	CNIGO.Cni-cfap-36	92.41	nondivergent	NIC2
N2.DC2.8a	NIC2.g19858.t1	100.0	CBRIG.CBG30609	CNIGO.Cni-trpp-1	98.6	nondivergent	NIC2
N2.DC2.3b	NIC2.g19857.t1	100.0	CBRIG.CBG06431c	CNIGO.Cni-lec-12	95.77	nondivergent	NIC2
N2.Y58G8A.1	NIC2.g1335.t1	99.79	CBRIG.CBG12109	CNIGO.Cnig_chr_V.g18002.1	96.98	nondivergent	NIC2
N2.Y58G8A.4b	NIC2.g1337.t1	100.0	CBRIG.CBG01072b	CNIGO.Cni-npr-5.1	99.21	nondivergent	NIC2
N2.F33E11.3	NIC2.g1339.t1	100.0	CBRIG.CBG12107	CNIGO.Cni-F33E11.3	93.06	nondivergent	NIC2
N2.F33E11.6b	NIC2.g1341.t1	99.69	CBRIG.CBG01069b	CNIGO.Cni-phf-10	98.24	nondivergent	NIC2
N2.Y39D8C.1	NIC2.g1343.t1	100.0	CBRIG.CBG01265	CNIGO.Cni-abt-4	98.05	nondivergent	NIC2
N2.T22H9.4	NIC2.g1344.t1	100.0	CBRIG.CBG01382	CNIGO.Cni-dmd-8.1	97.35	nondivergent	NIC2
N2.T22H9.2a	NIC2.g1346.t1	100.0	CBRIG.CBG01379	CNIGO.Cni-atg-9.1	98.59	nondivergent	NIC2
N2.T22H9.1b	NIC2.g1347.t1	100.0	CBRIG.CBG01378	CNIGO.Cni-T22H9.1	94.0	nondivergent	NIC2
N2.Y39D8B.2	NIC2.g1348.t1	100.0	CBRIG.CBG01377	CNIGO.Cnig_chr_V.g17670	99.07	nondivergent	NIC2
N2.Y39D8B.1a	NIC2.g1349.t1	100.0	CBRIG.CBG31063	CNIGO.Cni-mltn-7.1	96.66	nondivergent	NIC2
N2.Y39D8B.3	NIC2.g1350.t1	100.0	CBRIG.CBG01376	CNIGO.Cnig_chr_V.g17678.1	97.77	nondivergent	NIC2
N2.ZK6.8	NIC2.g1351.t1	100.0	CBRIG.CBG01375	CNIGO.Cni-ZK6.8.1	98.96	nondivergent	NIC2
N2.B0554.7a	NIC2.g1367.t1	99.5	CBRIG.CBG01362	CNIGO.Cnig_chr_V.g17690	92.81	nondivergent	NIC2
N2.M02H5.8a	NIC2.g1373.t1	95.56	CBRIG.CBG01360	CNIGO.Cni-M02H5.8	95.56	nondivergent	NIC2
N2.T01G6.7	NIC2.g1381.t1	100.0	CBRIG.CBG01353	CNIGO.Cnig_chr_V.g17699.1	96.71	nondivergent	NIC2
N2.T01G6.8	NIC2.g1382.t1	100.0	CBRIG.CBG06387	CNIGO.Cnig_chr_V.g18252.1	96.38	nondivergent	NIC2
N2.R11G11.6	NIC2.g1390.t1	99.32	CBRIG.CBG08422	CNIGO.Cnig_chr_IV.g16146	94.56	nondivergent	NIC2
N2.R11G11.2	NIC2.g1398.t1	100.0	CBRIG.CBG10465	CNIGO.Cnig_chr_V.g17404.1	95.62	nondivergent	NIC2
N2.R11G11.1	NIC2.g1399.t1	100.0	CBRIG.CBG10466	CNIGO.Cnig_chr_V.g17403	97.25	nondivergent	NIC2
N2.C14C6.13	NIC2.g1413.t1	100.0	CBRIG.CBG10471	CNIGO.Cni-C14C6.13	90.29	nondivergent	NIC2
N2.F48G7.4	NIC2.g1429.t1	100.0	CBRIG.CBG17911	CNIGO.Cni-F48G7.4	97.15	nondivergent	NIC2
N2.F48G7.1	NIC2.g1438.t1	100.0	CBRIG.CBG17933	CNIGO.Cni-srj-37.1	88.66	nondivergent	NIC2
N2.H25P19.1	NIC2.g1456.t1	100.0	CBRIG.CBG06282a	CNIGO.Cnig_chr_V.g18153	94.7	nondivergent	NIC2
N2.Y49C4A.9	NIC2.g1462.t1	99.15	CBRIG.CBG06337	CNIGO.Cnig_chr_V.g18203	92.53	nondivergent	NIC2
N2.C05E4.4a	NIC2.g1474.t1	100.0	CBRIG.CBG06334	CNIGO.Cni-sri-4.1	96.64	nondivergent	NIC2
N2.C05E4.3	NIC2.g1476.t1	100.0	CBRIG.CBG06333	CNIGO.Cni-srp-1.1	97.28	nondivergent	NIC2
N2.C05E4.1	NIC2.g1480.t1	100.0	CBRIG.CBG06332	CNIGO.Cni-srp-2	94.18	nondivergent	NIC2
