chr	start	stop
I	1	432
I	1	432
I	1	437
I	1	435
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	433
I	1	432
I	1	432
I	1	432
I	1	438
I	1	433
I	1	432
I	1	432
I	1	433
I	1	434
I	1	432
I	1	432
I	1	434
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	2	432
I	3	432
I	3	432
I	3	432
I	3	432
I	3	432
I	3	432
I	4	432
I	4	432
I	431	620
I	577	2253
I	577	2253
I	2048	2769
I	2052	2476
I	2052	2476
I	2053	3026
I	2053	3026
I	2053	2476
I	3038	3652
I	3228	3655
I	3358	24237
I	3358	106464
I	11881	12349
I	11881	12349
I	11881	12349
I	11881	12351
I	11881	12349
I	11884	12352
I	11884	12353
I	11884	12349
I	11884	12349
I	13558	14030
I	13669	14030
I	15528	15886
I	15528	15888
I	21549	21751
I	22300	23841
I	23841	24567
I	25873	26042
I	31234	31551
I	31234	31442
I	31234	31659
I	31234	31593
I	36973	37898
I	36974	37898
I	36974	37899
I	44987	45192
I	44987	45188
I	44987	45192
I	46554	46730
I	46555	46730
I	46555	46730
I	46555	46733
I	46555	46731
I	51433	52229
I	51435	52228
I	51437	52229
I	51437	52248
I	51437	52228
I	51437	52228
I	51437	52227
I	51437	52228
I	51438	51907
I	51438	52233
I	51438	52100
I	51438	52233
I	51438	52228
I	51438	52229
I	51438	52229
I	51438	52228
I	51438	52229
I	51438	52228
I	51444	52229
I	51651	52213
I	58272	58867
I	60812	61407
I	63290	63699
I	63529	63703
I	63529	63699
I	64469	64639
I	64496	65168
I	64745	64915
I	65166	65797
I	65192	66754
I	67117	67742
I	67763	67866
I	95561	95967
I	106472	119019
I	114800	114919
I	114800	114919
I	114800	114919
I	119457	121176
I	121179	145023
I	136756	137056
I	136863	137062
I	138059	139671
I	139764	139989
I	140553	141221
I	141671	141847
I	142307	142483
I	142991	143692
I	144253	144569
I	145381	185098
I	146619	146936
I	147046	147747
I	148366	148746
I	148366	148716
I	148587	148746
I	149651	149825
I	150383	151051
I	151454	151679
I	152067	153687
I	158358	158995
I	158358	158998
I	158360	158992
I	158360	158504
I	184308	184638
I	184310	185024
I	184310	185090
I	184871	184995
I	185098	186915
I	185098	186203
I	185098	188582
I	187029	188582
I	187182	188582
I	187707	188582
I	188443	188586
I	188443	188586
I	188582	264018
I	198285	198926
I	198285	198926
I	198285	198925
I	198285	198925
I	198287	198466
I	198287	198927
I	198287	198432
I	198287	198926
I	198287	198924
I	198289	198933
I	198360	198849
I	198452	198925
I	198453	198922
I	200842	201203
I	206086	206349
I	208472	208897
I	210648	213072
I	211124	216919
I	213178	216919
I	216924	217550
I	216924	217550
I	217550	218010
I	218740	219317
I	219482	220417
I	220604	221457
I	221715	222257
I	221787	221919
I	222054	222168
I	223392	226751
I	226748	227483
I	226751	227039
I	232751	233152
I	233081	234322
I	233321	236519
I	233605	234623
I	234848	236714
I	236714	237046
I	236714	237779
I	238519	238918
I	239253	239829
I	242109	242684
I	242680	246040
I	246133	246418
I	246217	246407
I	246537	246969
I	250963	255389
I	250963	255495
I	256947	257122
I	263705	264012
I	263706	264018
I	263706	264018
I	263847	264018
I	264018	264150
I	264018	264150
I	264018	266372
I	266373	280525
I	278595	278933
I	278595	278934
I	278595	278944
I	278667	278885
I	280527	281174
I	280791	282314
I	281448	291696
I	292098	326683
I	315727	316034
I	315735	316025
I	315735	316034
I	315737	316039
I	315739	315917
I	315739	316025
I	315740	316025
I	315741	316026
I	315741	315985
I	315741	316025
I	315741	316025
I	315741	316025
I	315773	316025
I	316245	317944
I	316246	317944
I	316248	317896
I	316249	316631
I	316250	317125
I	317605	318247
I	317655	318251
I	317655	318249
I	317896	318246
I	326097	335203
I	328458	329868
I	328469	329868
I	328469	329234
I	328469	329868
I	328469	329868
I	328469	329868
I	328469	329452
I	328469	329868
I	329321	329868
I	333422	333687
I	334677	339016
I	334678	334803
I	335406	335582
I	336272	336643
I	336274	336598
I	337042	337359
I	337102	337312
I	337102	337332
I	337102	337362
I	339982	340488
I	340718	355121
I	344410	344575
I	344679	344843
I	355237	359250
I	358785	358972
I	358790	358972
I	359080	373778
I	359082	359250
I	361811	361878
I	362050	362117
I	366802	366904
I	373779	376096
I	373979	374344
I	375333	375872
I	376094	378042
I	376290	376405
I	376691	377235
I	377997	400632
I	400410	401889
I	400529	401911
I	400540	401915
I	400745	401912
I	400745	401911
I	400745	401911
I	400748	401915
I	400748	401913
I	400748	401915
I	400748	401911
I	400774	402937
I	402495	406293
I	403879	404039
I	403879	404097
I	403880	404096
I	403880	404039
I	405271	405980
I	405271	405976
I	406297	409891
I	406664	407266
I	408868	409093
I	409254	409488
I	409892	468214
I	414165	415757
I	414165	415758
I	414166	415502
I	414166	415756
I	414166	415756
I	414167	415282
I	414167	415758
I	414167	415755
I	414167	415755
I	414167	415756
I	414167	415755
I	414167	415757
I	414167	415755
I	414167	415758
I	414167	415757
I	414167	415755
I	414167	415756
