chr	start	stop
I	863000	864000
I	864000	865000
I	865000	866000
I	866000	867000
I	867000	868000
I	868000	869000
I	869000	870000
I	870000	871000
I	871000	872000
I	872000	873000
I	873000	874000
I	1019000	1020000
I	1020000	1021000
I	1021000	1022000
I	1022000	1023000
I	1023000	1024000
I	1024000	1025000
I	1025000	1026000
I	1026000	1027000
I	1027000	1028000
I	1028000	1029000
I	1029000	1030000
I	1030000	1031000
I	1031000	1032000
I	1032000	1033000
I	1033000	1034000
I	1034000	1035000
I	1035000	1036000
I	1036000	1037000
I	1037000	1038000
I	1038000	1039000
I	1039000	1040000
I	1040000	1041000
I	1041000	1042000
I	1042000	1043000
I	1043000	1044000
I	1044000	1045000
I	1045000	1046000
I	1046000	1047000
I	1047000	1048000
I	1048000	1049000
I	1049000	1050000
I	1102000	1103000
I	1103000	1104000
I	1104000	1105000
I	1105000	1106000
I	1106000	1107000
I	1107000	1108000
I	1108000	1109000
I	1109000	1110000
I	1110000	1111000
I	1111000	1112000
I	1112000	1113000
I	1113000	1114000
I	1114000	1115000
I	1115000	1116000
I	1116000	1117000
I	1117000	1118000
I	1118000	1119000
I	1119000	1120000
I	1120000	1121000
I	1121000	1122000
I	1122000	1123000
I	1123000	1124000
I	1124000	1125000
I	1125000	1126000
I	1126000	1127000
I	1186000	1187000
I	1187000	1188000
I	1188000	1189000
I	1189000	1190000
I	1190000	1191000
I	1191000	1192000
I	1192000	1193000
I	1193000	1194000
I	1194000	1195000
I	1195000	1196000
I	1196000	1197000
I	1197000	1198000
I	1201000	1202000
I	1202000	1203000
I	1203000	1204000
I	1204000	1205000
I	1205000	1206000
I	1206000	1207000
I	1207000	1208000
I	1208000	1209000
I	1209000	1210000
I	1210000	1211000
I	1211000	1212000
I	1212000	1213000
I	1213000	1214000
I	1214000	1215000
I	1215000	1216000
I	1216000	1217000
I	1217000	1218000
I	1343000	1344000
I	1344000	1345000
I	1345000	1346000
I	1346000	1347000
I	1347000	1348000
I	1348000	1349000
I	1349000	1350000
I	1350000	1351000
I	1351000	1352000
I	1352000	1353000
I	1353000	1354000
I	1354000	1355000
I	1355000	1356000
I	1356000	1357000
I	1357000	1358000
I	1358000	1359000
I	1359000	1360000
I	1360000	1361000
I	1361000	1362000
I	1362000	1363000
I	1363000	1364000
I	1364000	1365000
I	1365000	1366000
I	1366000	1367000
I	1374000	1375000
I	1375000	1376000
I	1376000	1377000
I	1377000	1378000
I	1378000	1379000
I	1379000	1380000
I	1380000	1381000
I	1381000	1382000
I	1382000	1383000
I	1383000	1384000
I	1384000	1385000
I	1385000	1386000
I	1386000	1387000
I	1387000	1388000
I	1388000	1389000
I	1389000	1390000
I	1390000	1391000
I	1391000	1392000
I	1392000	1393000
I	1393000	1394000
I	1394000	1395000
I	1395000	1396000
I	1396000	1397000
I	1397000	1398000
I	1398000	1399000
I	1399000	1400000
I	1513000	1514000
I	1514000	1515000
I	1515000	1516000
I	1516000	1517000
I	1517000	1518000
I	1518000	1519000
I	1519000	1520000
I	1520000	1521000
I	1521000	1522000
I	1522000	1523000
I	1523000	1524000
I	1524000	1525000
I	1525000	1526000
I	1526000	1527000
I	1602000	1603000
I	1603000	1604000
I	1604000	1605000
I	1605000	1606000
I	1606000	1607000
I	1607000	1608000
I	1608000	1609000
I	1609000	1610000
I	1610000	1611000
I	1611000	1612000
I	1612000	1613000
I	1613000	1614000
I	1614000	1615000
I	1615000	1616000
I	1616000	1617000
I	1617000	1618000
I	1618000	1619000
