chr	start	stop
I	1018000	1019000
I	1062000	1063000
I	1169000	1170000
I	1178000	1179000
I	1181000	1182000
I	1218000	1224000
I	1337000	1341000
I	1410000	1425000
I	1572000	1576000
I	1580000	1587000
I	1600000	1602000
I	2044000	2046000
I	2362000	2363000
I	3031000	3034000
I	3586000	3598000
I	3799000	3809000
I	4453000	4463000
I	10306000	10315000
I	10906000	10928000
I	11004000	11010000
I	11432000	11433000
I	11450000	11456000
I	11468000	11471000
I	11833000	11835000
I	12061000	12063000
I	12153000	12158000
I	12206000	12216000
I	12260000	12272000
I	12443000	12447000
I	12606000	12622000
I	12646000	12651000
I	12751000	12752000
I	12795000	12797000
I	12806000	12809000
I	12986000	12995000
I	13012000	13016000
I	13186000	13226000
I	13341000	13356000
I	13375000	13376000
I	13799000	13800000
I	14027000	14028000
I	14294000	14295000
I	14309000	14319000
I	14492000	14500000
II	308000	310000
II	326000	332000
II	403000	424000
II	429000	430000
II	530000	576000
II	680000	682000
II	937000	958000
II	977000	979000
II	980000	984000
II	1075000	1076000
II	1369000	1374000
II	1378000	1412000
II	1421000	1424000
II	1435000	1439000
II	1515000	1524000
II	1678000	1682000
II	1698000	1700000
II	1717000	1736000
II	1977000	1980000
II	1983000	1985000
II	2002000	2010000
II	2443000	2455000
II	2492000	2509000
II	2558000	2564000
II	2578000	2588000
II	2615000	2621000
II	2715000	2724000
II	2785000	2787000
II	2799000	2810000
II	2870000	2872000
II	2922000	2925000
II	2965000	2974000
II	3060000	3062000
II	3270000	3271000
II	3280000	3286000
II	3393000	3399000
II	3499000	3502000
II	3660000	3672000
II	3694000	3720000
II	3760000	3780000
II	3800000	3833000
II	3902000	3926000
II	3942000	3954000
II	4003000	4013000
II	4174000	4186000
II	4206000	4208000
II	4432000	4433000
II	5295000	5315000
II	5839000	5869000
II	10657000	10661000
II	11376000	11400000
II	11980000	11981000
II	12021000	12022000
II	12083000	12093000
II	12289000	12293000
II	12298000	12302000
II	12397000	12407000
II	12454000	12517000
II	12529000	12548000
II	12604000	12622000
II	12623000	12653000
II	12659000	12679000
II	12727000	12732000
II	12738000	12746000
II	12773000	12786000
II	12798000	12805000
II	12818000	12819000
II	12892000	12901000
II	12928000	12938000
II	13120000	13130000
II	13147000	13154000
II	13208000	13211000
II	13264000	13265000
II	13338000	13341000
II	13440000	13447000
II	13460000	13467000
II	13472000	13491000
II	13520000	13536000
II	13577000	13579000
II	13580000	13590000
II	13627000	13630000
II	13642000	13646000
II	13665000	13669000
II	13675000	13679000
II	13736000	13740000
II	13751000	13763000
II	13771000	13780000
II	13936000	13937000
II	13950000	13957000
II	13967000	13971000
II	14303000	14311000
II	14337000	14338000
II	14979000	14980000
III	920000	924000
III	933000	934000
III	1117000	1124000
III	1212000	1221000
III	1231000	1244000
III	1334000	1342000
III	1465000	1467000
III	1603000	1606000
III	1630000	1635000
III	1674000	1679000
III	1682000	1684000
III	1694000	1696000
III	1731000	1732000
III	1746000	1754000
III	1843000	1847000
III	2037000	2074000
III	2083000	2085000
III	2532000	2539000
III	2774000	2778000
III	2802000	2803000
III	2815000	2817000
III	2827000	2829000
III	2901000	2917000
III	2963000	3012000
III	3289000	3293000
III	11037000	11041000
III	11567000	11572000
III	11922000	11931000
III	12035000	12050000
III	12062000	12064000
III	12232000	12233000
III	12251000	12260000
