chr	start	stop
I	874000	875000
I	1050000	1051000
I	1051000	1052000
I	1052000	1053000
I	1053000	1054000
I	1054000	1055000
I	1055000	1056000
I	1056000	1057000
I	1057000	1058000
I	1058000	1059000
I	1059000	1060000
I	1060000	1061000
I	1061000	1062000
I	1101000	1102000
I	1170000	1171000
I	1171000	1172000
I	1172000	1173000
I	1173000	1174000
I	1174000	1175000
I	1175000	1176000
I	1176000	1177000
I	1177000	1178000
I	1182000	1183000
I	1183000	1184000
I	1184000	1185000
I	1185000	1186000
I	1198000	1199000
I	1199000	1200000
I	1200000	1201000
I	1341000	1342000
I	1342000	1343000
I	1367000	1368000
I	1368000	1369000
I	1369000	1370000
I	1370000	1371000
I	1371000	1372000
I	1372000	1373000
I	1373000	1374000
I	1400000	1401000
I	1401000	1402000
I	1402000	1403000
I	1403000	1404000
I	1404000	1405000
I	1405000	1406000
I	1406000	1407000
I	1407000	1408000
I	1408000	1409000
I	1409000	1410000
I	1527000	1528000
I	1528000	1529000
I	1563000	1564000
I	1564000	1565000
I	1565000	1566000
I	1566000	1567000
I	1567000	1568000
I	1568000	1569000
I	1569000	1570000
I	1570000	1571000
I	1571000	1572000
I	1576000	1577000
I	1577000	1578000
I	1578000	1579000
I	1579000	1580000
I	1625000	1626000
I	1626000	1627000
I	1627000	1628000
I	1749000	1750000
I	1895000	1896000
I	1912000	1913000
I	1913000	1914000
I	1914000	1915000
I	1915000	1916000
I	1916000	1917000
I	1917000	1918000
I	2467000	2468000
I	2485000	2486000
I	2799000	2800000
I	2800000	2801000
I	2801000	2802000
I	2802000	2803000
I	2803000	2804000
I	2804000	2805000
I	2805000	2806000
I	2806000	2807000
I	2807000	2808000
I	2808000	2809000
I	3028000	3029000
I	3029000	3030000
I	3030000	3031000
I	3229000	3230000
I	10928000	10929000
I	10929000	10930000
I	10930000	10931000
I	10931000	10932000
I	10932000	10933000
I	10933000	10934000
I	10934000	10935000
I	10935000	10936000
I	10936000	10937000
I	10937000	10938000
I	10938000	10939000
I	10939000	10940000
I	10940000	10941000
I	10941000	10942000
I	10942000	10943000
I	10943000	10944000
I	10944000	10945000
I	10953000	10954000
I	10954000	10955000
I	10955000	10956000
I	10956000	10957000
I	10957000	10958000
I	10958000	10959000
I	10959000	10960000
I	10960000	10961000
I	10961000	10962000
I	10962000	10963000
I	10963000	10964000
I	10964000	10965000
I	10965000	10966000
I	10966000	10967000
I	10967000	10968000
I	10968000	10969000
I	10969000	10970000
I	10970000	10971000
I	10971000	10972000
I	10972000	10973000
I	10973000	10974000
I	10974000	10975000
I	10975000	10976000
I	10976000	10977000
I	10977000	10978000
I	10978000	10979000
I	10979000	10980000
I	10980000	10981000
I	10981000	10982000
I	10982000	10983000
I	10983000	10984000
I	10984000	10985000
I	10994000	10995000
I	10995000	10996000
I	10996000	10997000
I	10997000	10998000
I	10998000	10999000
I	10999000	11000000
I	11000000	11001000
I	11001000	11002000
I	11002000	11003000
I	11003000	11004000
I	11471000	11472000
I	11472000	11473000
I	11473000	11474000
I	11474000	11475000
I	11475000	11476000
I	11476000	11477000
I	11477000	11478000
I	11478000	11479000
I	11479000	11480000
I	11480000	11481000
I	11481000	11482000
I	11835000	11836000
I	11836000	11837000
I	11837000	11838000
I	11838000	11839000
I	11839000	11840000
I	11840000	11841000
I	11841000	11842000
I	12042000	12043000
I	12043000	12044000
I	12044000	12045000
I	12045000	12046000
I	12046000	12047000
I	12047000	12048000
I	12048000	12049000
I	12049000	12050000
I	12050000	12051000
I	12051000	12052000
I	12052000	12053000
I	12053000	12054000
I	12054000	12055000
I	12055000	12056000
I	12056000	12057000
I	12063000	12064000
I	12064000	12065000
I	12065000	12066000
I	12066000	12067000
I	12067000	12068000
I	12068000	12069000
I	12069000	12070000
I	12070000	12071000
I	12087000	12088000
I	12088000	12089000
I	12114000	12115000
I	12115000	12116000
I	12116000	12117000
I	12117000	12118000
I	12118000	12119000
I	12119000	12120000
I	12120000	12121000
I	12121000	12122000
I	12122000	12123000
I	12123000	12124000
I	12124000	12125000
I	12125000	12126000
I	12126000	12127000
I	12127000	12128000
I	12128000	12129000
I	12129000	12130000
I	12130000	12131000
I	12131000	12132000
I	12132000	12133000
I	12133000	12134000
I	12134000	12135000
I	12135000	12136000
I	12136000	12137000
I	12137000	12138000
I	12138000	12139000
I	12139000	12140000
I	12140000	12141000
I	12141000	12142000
I	12142000	12143000
I	12143000	12144000
I	12144000	12145000
I	12145000	12146000
I	12146000	12147000
I	12147000	12148000
I	12148000	12149000
I	12149000	12150000
I	12150000	12151000
I	12151000	12152000
I	12152000	12153000
I	12220000	12221000
I	12221000	12222000
I	12222000	12223000
I	12223000	12224000
I	12224000	12225000
I	12225000	12226000
I	12226000	12227000
I	12227000	12228000
I	12228000	12229000
I	12229000	12230000
I	12230000	12231000
I	12231000	12232000
I	12232000	12233000
I	12233000	12234000
I	12234000	12235000
I	12235000	12236000
I	12236000	12237000
I	12237000	12238000
I	12238000	12239000
I	12239000	12240000
I	12240000	12241000
I	12241000	12242000
I	12242000	12243000
I	12243000	12244000
I	12244000	12245000
I	12245000	12246000
I	12246000	12247000
I	12247000	12248000
I	12248000	12249000
I	12249000	12250000
I	12250000	12251000
I	12251000	12252000
I	12252000	12253000
I	12253000	12254000
I	12254000	12255000
I	12255000	12256000
I	12256000	12257000
I	12257000	12258000
I	12258000	12259000
I	12259000	12260000
I	12272000	12273000
I	12273000	12274000
I	12274000	12275000
I	12275000	12276000
I	12276000	12277000
I	12277000	12278000
I	12278000	12279000
I	12279000	12280000
I	12280000	12281000
I	12281000	12282000
I	12282000	12283000
I	12283000	12284000
I	12284000	12285000
I	12285000	12286000
I	12286000	12287000
I	12287000	12288000
I	12288000	12289000
I	12289000	12290000
I	12290000	12291000
I	12291000	12292000
I	12292000	12293000
I	12293000	12294000
I	12294000	12295000
I	12295000	12296000
I	12296000	12297000
I	12297000	12298000
I	12298000	12299000
I	12299000	12300000
I	12300000	12301000
I	12301000	12302000
I	12302000	12303000
I	12303000	12304000
I	12304000	12305000
I	12305000	12306000
I	12306000	12307000
I	12307000	12308000
I	12308000	12309000
I	12309000	12310000
I	12310000	12311000
I	12311000	12312000
I	12312000	12313000
I	12313000	12314000
I	12314000	12315000
I	12315000	12316000
I	12316000	12317000
I	12317000	12318000
I	12318000	12319000
I	12319000	12320000
I	12320000	12321000
I	12321000	12322000
I	12322000	12323000
I	12323000	12324000
I	12324000	12325000
I	12325000	12326000
I	12326000	12327000
I	12327000	12328000
I	12328000	12329000
I	12329000	12330000
I	12330000	12331000
I	12331000	12332000
I	12332000	12333000
I	12333000	12334000
I	12334000	12335000
I	12335000	12336000
I	12336000	12337000
I	12337000	12338000
I	12338000	12339000
I	12339000	12340000
I	12340000	12341000
I	12341000	12342000
I	12342000	12343000
I	12343000	12344000
I	12344000	12345000
I	12345000	12346000
I	12346000	12347000
I	12347000	12348000
I	12348000	12349000
I	12349000	12350000
I	12350000	12351000
I	12351000	12352000
I	12352000	12353000
I	12353000	12354000
I	12354000	12355000
I	12355000	12356000
I	12356000	12357000
I	12357000	12358000
I	12358000	12359000
I	12359000	12360000
I	12360000	12361000
I	12361000	12362000
I	12362000	12363000
I	12363000	12364000
I	12364000	12365000
I	12365000	12366000
I	12366000	12367000
I	12367000	12368000
I	12368000	12369000
I	12369000	12370000
I	12370000	12371000
I	12371000	12372000
I	12372000	12373000
I	12373000	12374000
I	12374000	12375000
I	12375000	12376000
I	12376000	12377000
I	12377000	12378000
I	12378000	12379000
I	12379000	12380000
I	12380000	12381000
I	12381000	12382000
I	12382000	12383000
I	12383000	12384000
I	12384000	12385000
I	12385000	12386000
I	12386000	12387000
I	12387000	12388000
I	12388000	12389000
I	12389000	12390000
I	12390000	12391000
I	12391000	12392000
I	12392000	12393000
I	12393000	12394000
I	12394000	12395000
I	12395000	12396000
I	12396000	12397000
I	12397000	12398000
I	12398000	12399000
I	12399000	12400000
I	12400000	12401000
I	12401000	12402000
I	12402000	12403000
I	12403000	12404000
I	12404000	12405000
I	12405000	12406000
I	12406000	12407000
I	12407000	12408000
