CHROM	START_BIN	END_BIN
I	527000	528000
I	528000	529000
I	529000	530000
I	530000	531000
I	531000	532000
I	532000	533000
I	533000	534000
I	534000	535000
I	535000	536000
I	536000	537000
I	537000	538000
I	538000	539000
I	539000	540000
I	540000	541000
I	541000	542000
I	542000	543000
I	543000	544000
I	544000	545000
I	545000	546000
I	546000	547000
I	547000	548000
I	548000	549000
I	549000	550000
I	550000	551000
I	551000	552000
I	552000	553000
I	553000	554000
I	554000	555000
I	555000	556000
I	556000	557000
I	557000	558000
I	558000	559000
I	559000	560000
I	560000	561000
I	561000	562000
I	562000	563000
I	563000	564000
I	564000	565000
I	565000	566000
I	566000	567000
I	567000	568000
I	568000	569000
I	569000	570000
I	570000	571000
I	571000	572000
I	572000	573000
I	573000	574000
I	574000	575000
I	575000	576000
I	576000	577000
I	577000	578000
I	578000	579000
I	579000	580000
I	580000	581000
I	581000	582000
I	582000	583000
I	583000	584000
I	584000	585000
I	585000	586000
I	586000	587000
I	587000	588000
I	588000	589000
I	589000	590000
I	590000	591000
I	591000	592000
I	592000	593000
I	593000	594000
I	594000	595000
I	595000	596000
I	596000	597000
I	597000	598000
I	598000	599000
I	599000	600000
I	600000	601000
I	601000	602000
I	602000	603000
I	603000	604000
I	604000	605000
I	605000	606000
I	606000	607000
I	607000	608000
I	608000	609000
I	609000	610000
I	610000	611000
I	611000	612000
I	612000	613000
I	613000	614000
I	614000	615000
I	615000	616000
I	616000	617000
I	617000	618000
I	618000	619000
I	619000	620000
I	620000	621000
I	621000	622000
I	622000	623000
I	623000	624000
I	624000	625000
I	625000	626000
I	626000	627000
I	627000	628000
I	628000	629000
I	629000	630000
I	630000	631000
I	631000	632000
I	632000	633000
I	633000	634000
I	634000	635000
I	635000	636000
I	636000	637000
I	637000	638000
I	638000	639000
I	639000	640000
I	640000	641000
I	641000	642000
I	642000	643000
I	643000	644000
I	644000	645000
I	645000	646000
I	646000	647000
I	647000	648000
I	648000	649000
I	649000	650000
I	650000	651000
I	651000	652000
I	652000	653000
I	653000	654000
I	654000	655000
I	655000	656000
I	656000	657000
I	657000	658000
I	658000	659000
I	659000	660000
I	660000	661000
I	661000	662000
I	662000	663000
I	663000	664000
I	664000	665000
I	665000	666000
I	666000	667000
I	667000	668000
I	668000	669000
I	669000	670000
I	670000	671000
I	671000	672000
I	672000	673000
I	673000	674000
I	674000	675000
I	675000	676000
I	676000	677000
I	677000	678000
I	678000	679000
I	679000	680000
I	680000	681000
I	681000	682000
I	682000	683000
I	683000	684000
I	684000	685000
I	685000	686000
I	686000	687000
I	687000	688000
I	688000	689000
I	689000	690000
I	690000	691000
I	691000	692000
I	692000	693000
I	693000	694000
I	694000	695000
I	695000	696000
I	696000	697000
I	697000	698000
I	698000	699000
I	699000	700000
I	700000	701000
I	701000	702000
I	702000	703000
I	703000	704000
I	704000	705000
I	705000	706000
I	706000	707000
I	707000	708000
I	708000	709000
I	709000	710000
I	710000	711000
I	711000	712000
I	712000	713000
I	713000	714000
I	714000	715000
I	715000	716000
I	716000	717000
I	717000	718000
I	718000	719000
I	719000	720000
I	720000	721000
I	721000	722000
I	722000	723000
I	723000	724000
I	724000	725000
I	725000	726000
I	726000	727000
I	727000	728000
I	728000	729000
I	729000	730000
I	730000	731000
I	731000	732000
I	732000	733000
I	733000	734000
I	734000	735000
I	735000	736000
I	736000	737000
I	737000	738000
I	738000	739000
I	739000	740000
I	740000	741000
I	741000	742000
I	742000	743000
I	743000	744000
I	744000	745000
I	745000	746000
I	746000	747000
I	747000	748000
I	748000	749000
I	749000	750000
I	750000	751000
I	751000	752000
I	752000	753000
I	753000	754000
I	754000	755000
I	755000	756000
I	756000	757000
I	757000	758000
I	758000	759000
I	759000	760000
I	760000	761000
I	761000	762000
I	762000	763000
I	763000	764000
I	764000	765000
I	765000	766000
I	766000	767000
I	767000	768000
I	768000	769000
I	769000	770000
I	770000	771000
I	771000	772000
I	772000	773000
I	773000	774000
I	774000	775000
I	775000	776000
I	776000	777000
I	777000	778000
I	778000	779000
I	779000	780000
I	780000	781000
I	781000	782000
I	782000	783000
I	783000	784000
I	784000	785000
I	785000	786000
I	786000	787000
I	787000	788000
I	788000	789000
I	789000	790000
I	790000	791000
I	791000	792000
I	792000	793000
I	793000	794000
I	794000	795000
I	795000	796000
I	796000	797000
I	797000	798000
I	798000	799000
I	799000	800000
I	800000	801000
I	801000	802000
I	802000	803000
I	803000	804000
I	804000	805000
I	805000	806000
I	806000	807000
I	807000	808000
I	808000	809000
I	809000	810000
I	810000	811000
I	811000	812000
I	812000	813000
I	813000	814000
I	814000	815000
I	815000	816000
I	816000	817000
I	817000	818000
I	818000	819000
I	819000	820000
I	820000	821000
I	821000	822000
I	822000	823000
I	823000	824000
I	824000	825000
I	825000	826000
I	826000	827000
I	827000	828000
I	828000	829000
I	829000	830000
I	830000	831000
I	831000	832000
I	832000	833000
I	833000	834000
I	834000	835000
I	835000	836000
I	836000	837000
I	837000	838000
I	838000	839000
I	839000	840000
I	840000	841000
I	841000	842000
I	842000	843000
I	843000	844000
I	844000	845000
I	845000	846000
I	846000	847000
I	847000	848000
I	848000	849000
I	849000	850000
I	850000	851000
I	851000	852000
I	852000	853000
I	853000	854000
I	854000	855000
I	855000	856000
I	856000	857000
I	857000	858000
I	858000	859000
I	859000	860000
I	860000	861000
I	861000	862000
I	862000	863000
I	875000	876000
I	876000	877000
I	877000	878000
I	878000	879000
I	879000	880000
I	880000	881000
I	881000	882000
I	882000	883000
I	883000	884000
I	884000	885000
I	885000	886000
I	886000	887000
I	887000	888000
I	888000	889000
I	889000	890000
I	890000	891000
I	891000	892000
I	892000	893000
I	893000	894000
I	894000	895000
I	895000	896000
I	896000	897000
I	897000	898000
I	898000	899000
I	899000	900000
I	900000	901000
I	901000	902000
I	902000	903000
I	903000	904000
I	904000	905000
I	905000	906000
I	906000	907000
I	907000	908000
I	908000	909000
I	909000	910000
I	910000	911000
I	911000	912000
I	912000	913000
I	913000	914000
I	914000	915000
I	915000	916000
I	916000	917000
I	917000	918000
I	918000	919000
I	919000	920000
I	920000	921000
I	921000	922000
I	922000	923000
I	923000	924000
I	924000	925000
I	925000	926000
I	926000	927000
I	927000	928000
I	928000	929000
I	929000	930000
I	930000	931000
I	931000	932000
I	932000	933000
I	933000	934000
I	934000	935000
I	935000	936000
I	936000	937000
I	937000	938000
I	938000	939000
I	939000	940000
I	940000	941000
I	941000	942000
I	942000	943000
I	943000	944000
I	944000	945000
I	945000	946000
I	946000	947000
I	947000	948000
I	948000	949000
I	949000	950000
I	950000	951000
I	951000	952000
I	952000	953000
I	953000	954000
I	954000	955000
I	955000	956000
I	956000	957000
I	957000	958000
I	958000	959000
I	959000	960000
I	960000	961000
I	961000	962000
I	962000	963000
I	963000	964000
I	964000	965000
I	965000	966000
I	966000	967000
I	967000	968000
I	968000	969000
I	969000	970000
I	970000	971000
I	971000	972000
I	972000	973000
I	973000	974000
I	974000	975000
I	975000	976000
I	976000	977000
I	977000	978000
I	978000	979000
I	979000	980000
I	980000	981000
I	981000	982000
I	982000	983000
I	983000	984000
I	984000	985000
I	985000	986000
I	986000	987000
I	987000	988000
I	988000	989000
I	989000	990000
I	990000	991000
I	991000	992000
I	992000	993000
I	993000	994000
I	994000	995000
I	995000	996000
I	996000	997000
I	997000	998000
I	998000	999000
I	999000	1000000
I	1000000	1001000
I	1001000	1002000
I	1002000	1003000
I	1003000	1004000
I	1004000	1005000
I	1005000	1006000
I	1006000	1007000
I	1007000	1008000
I	1008000	1009000
I	1009000	1010000
I	1010000	1011000
I	1011000	1012000
I	1012000	1013000
I	1013000	1014000
I	1014000	1015000
I	1015000	1016000
I	1016000	1017000
I	1017000	1018000
I	1063000	1064000
I	1064000	1065000
I	1065000	1066000
I	1066000	1067000
I	1067000	1068000
I	1068000	1069000
I	1069000	1070000
I	1070000	1071000
I	1071000	1072000
I	1072000	1073000
I	1073000	1074000
I	1074000	1075000
I	1075000	1076000
I	1076000	1077000
I	1077000	1078000
I	1078000	1079000
I	1079000	1080000
I	1080000	1081000
I	1081000	1082000
I	1082000	1083000
I	1083000	1084000
I	1084000	1085000
I	1085000	1086000
I	1086000	1087000
I	1087000	1088000
I	1088000	1089000
I	1089000	1090000
I	1090000	1091000
I	1091000	1092000
I	1092000	1093000
I	1093000	1094000
I	1094000	1095000
I	1095000	1096000
I	1096000	1097000
I	1097000	1098000
I	1098000	1099000
I	1099000	1100000
I	1100000	1101000
I	1127000	1128000
I	1128000	1129000
I	1129000	1130000
I	1130000	1131000
I	1131000	1132000
I	1132000	1133000
I	1133000	1134000
I	1134000	1135000
I	1135000	1136000
I	1136000	1137000
I	1137000	1138000
I	1138000	1139000
I	1139000	1140000
I	1140000	1141000
I	1141000	1142000
I	1142000	1143000
I	1143000	1144000
I	1144000	1145000
I	1145000	1146000
I	1146000	1147000
I	1147000	1148000
I	1148000	1149000
I	1149000	1150000
I	1150000	1151000
I	1151000	1152000
I	1152000	1153000
I	1153000	1154000
I	1154000	1155000
