ID	start	stop	N2_ortho	sc_ortho_status
CB4856.g9684.t1	3792994	3794568	F19B10.7	Y
CB4856.g9685.t1	3795163	3797038	F19B10.8	Y
CB4856.g9686.t1	3797817	3799788	F19B10.9	Y
CB4856.g9687.t1	3801139	3802316	F19B10.2	Y
CB4856.g9688.t1	3802320	3806248	F19B10.10	Y
CB4856.g9689.t1	3809119	3810479	F19B10.1	Y
CB4856.g9690.t1	3810806	3813208	-	N
CB4856.g9691.t1	3813920	3814608	-	N
CB4856.g9692.t1	3816799	3817986	-	N
CB4856.g9693.t1	3818070	3819018	-	N
CB4856.g9694.t1	3819789	3820160	-	N
CB4856.g9695.t1	3821402	3822598	-	N
CB4856.g9696.t1	3823542	3824498	-	N
CB4856.g9697.t1	3825079	3826198	-	N
CB4856.g9698.t1	3826587	3827528	-	N
CB4856.g9699.t1	3827752	3830228	F40H7.4	Y
CB4856.g9700.t1	3830689	3831593	-	N
CB4856.g9701.t1	3831631	3833128	F40H7.5	Y
CB4856.g9702.t1_F40H7.7	3837111	3838368	F40H7.7	Y
CB4856.g9702.t1_F40H7.8	3838565	3839678	F40H7.8	Y
