ID	start	stop	N2_ortho	sc_ortho_status
DL238.g17659.t1	1248968	1250810	F19B10.7	Y
DL238.g17660.t1	1251001	1252730	F19B10.8	Y
DL238.g17661.t1	1254139	1256060	F19B10.9	Y
DL238.g17662.t1	1257521	1258618	F19B10.2	Y
DL238.g17663.t1	1258633	1263130	-	N
DL238.g17664.t1	1264961	1268553	-	N
DL238.g17665.t1	1268612	1271640	F19B10.10	Y
DL238.g17666.t1	1273881	1275638	F19B10.1	Y
DL238.g17667.t1	1275911	1277207	-	N
DL238.g17668.t1	1277257	1278230	-	N
DL238.g17669.t1	1278315	1279850	-	N
DL238.g17670.t1	1280141	1280900	-	N
DL238.g17671.t1	1281477	1282780	F40H7.4	Y
DL238.g17672.t1	1283841	1285208	-	N
DL238.g17673.t1	1285297	1286800	F40H7.5	Y
DL238.g17674.t1	1287409	1289020	F40H7.7	Y
DL238.g17675.t1	1289354	1290550	F40H7.8	Y
