ID	start	stop	N2_ortho	sc_ortho_status
EG4725.Y113G7B.2	5481	7264	Y113G7B.2	Y
EG4725.Y113G7B.28	10478	10782	Y113G7B.28	Y
EG4725.Y113G7B.4	11374	12543	Y113G7B.4	Y
EG4725.Y113G7B.5b	13664	14872	Y113G7B.5b	Y
EG4725.Y113G7B.7	16023	17150	Y113G7B.7	Y
EG4725.g4	17376	18215	-	N
EG4725.Y113G7B.6	18664	19752	Y113G7B.6	Y
EG4725.Y113G7B.8	19848	20975	Y113G7B.8	Y
EG4725.g6	21317	21695	-	N
EG4725.g7	23806	27145	-	N
EG4725.g8	28756	33034	-	N
EG4725.g9	33083	34595	-	N
EG4725.g10	43757	45225	-	N
EG4725.Y113G7B.15	45869	50042	Y113G7B.15	Y
EG4725.Y113G7B.24a	51441	54001	Y113G7B.24a	Y
EG4725.Y113G7B.23c	56150	66571	Y113G7B.23c	Y
EG4725.Y113G7B.18a	69305	83961	Y113G7B.18a	Y
