ID	start	stop	N2_ortho	sc_ortho_status
DL238.Y113G7B.2	2808	4592	Y113G7B.2	Y
DL238.Y113G7B.28	5467	5773	Y113G7B.28	Y
DL238.Y113G7B.4	6364	7533	Y113G7B.4	Y
DL238.Y113G7B.5b	8653	9861	Y113G7B.5b	Y
DL238.Y113G7B.7	11132	11852	Y113G7B.7	Y
DL238.Y113G7B.6	12631	13718	Y113G7B.6	Y
DL238.Y113G7B.8	13818	14462	Y113G7B.8	Y
DL238.g2	17737	20405	g2	N
DL238.g3	24836	27490	g3	N
DL238.g4	27688	30505	g4	N
DL238.g5	31406	32300	g5	N
DL238.g6	32727	33425	g6	N
DL238.Y113G7B.15	43954	45537	Y113G7B.15	Y
DL238.Y113G7B.24a	46940	49476	Y113G7B.24a	Y
DL238.Y113G7B.23c	51652	63903	Y113G7B.23c	Y
DL238.Y113G7B.18a	66852	83166	Y113G7B.18a	Y
