ID	start	stop	N2_ortho	sc_ortho_status
QX1794.Y113G7B.2	12	1797	Y113G7B.2	Y
QX1794.Y113G7B.28	2756	3058	Y113G7B.28	Y
QX1794.Y113G7B.4	3648	4817	Y113G7B.4	Y
QX1794.Y113G7B.5b	5824	7032	Y113G7B.5b	Y
QX1794.Y113G7B.7	8182	9286	Y113G7B.7	Y
QX1794.Y113G7B.6	9895	10982	Y113G7B.6	Y
QX1794.Y113G7B.8	11077	12225	Y113G7B.8	Y
QX1794.g1	12736	14107	g1	N
QX1794.g2	14642	15925	g2	N
QX1794.g3	16286	16756	g3	N
QX1794.g4	16795	17785	g4	N
QX1794.g5	17835	18735	g5	N
QX1794.g7	20214	23515	g7	N
QX1794.g9	26016	29319	g9	N
QX1794.Y113G7B.15	41779	45703	Y113G7B.15	Y
QX1794.Y113G7B.24a	47105	49638	Y113G7B.24a	Y
QX1794.Y113G7B.23c	51713	63385	Y113G7B.23c	Y
QX1794.Y113G7B.18a	66870	80804	Y113G7B.18a	Y
