ID	start	stop	N2_ortho	sc_ortho_status
JU2526.Y113G7B.2	3037	4819	Y113G7B.2	Y
JU2526.Y113G7B.28	5694	5996	Y113G7B.28	Y
JU2526.Y113G7B.4	6588	7757	Y113G7B.4	Y
JU2526.Y113G7B.5b	8878	10086	Y113G7B.5b	Y
JU2526.Y113G7B.7	11236	12339	Y113G7B.7	Y
JU2526.Y113G7B.6	13132	14210	Y113G7B.6	Y
JU2526.Y113G7B.8	14281	15925	Y113G7B.8	Y
JU2526.Y113G7B.9_predicted	16386	17710	Y113G7B.9	N
JU2526.Y113G7B.12_predicted	18436	23885	Y113G7B.12	N
JU2526.Y113G7B.15	35682	40325	Y113G7B.15	Y
JU2526.Y113G7B.24a	41800	43394	Y113G7B.24a	Y
JU2526.Y113G7B.23c	47532	55642	Y113G7B.23c	Y
JU2526.Y113G7B.18a	58374	76405	Y113G7B.18a	Y
